Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event,Rider_normalized
,ND,T. HaradaT. Harada,,10 Laps,Event fra,2002.0,fra,Haradat
,ND,D. KatoD. Kato,,11 Laps,Event fra,2002.0,fra,Katod
,ND,O. JacqueO. Jacque,,10 Laps,Event fra,2002.0,fra,Jacqueo
,ND,C. ChecaC. Checa,,8 Laps,Event fra,2002.0,fra,Checac
,,,,,,2002.0,esp,
1.0,ND,A. BarrosA. Barros,,47:22.404,Event esp,2002.0,esp,Barrosa
2.0,ND,V. RossiV. Rossi,,+0.230,Event esp,2002.0,esp,Rossi
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event esp,2002.0,esp,Biaggim
4.0,ND,D. KatoD. Kato,,+22.504,Event esp,2002.0,esp,Katod
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event esp,2002.0,esp,Ukawat
6.0,ND,S. NakanoS. Nakano,,+50.169,Event esp,2002.0,esp,Nakanos
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event esp,2002.0,esp,Goorberghj
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event esp,2002.0,esp,Mcwilliamsj
9.0,ND,O. JacqueO. Jacque,,+68.312,Event esp,2002.0,esp,Jacqueo
10.0,ND,N. AbeN. Abe,,+68.312,Event esp,2002.0,esp,Aben
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event esp,2002.0,esp,Hopkinsj
12.0,ND,A. PittA. Pitt,,+87.427,Event esp,2002.0,esp,Pitta
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event esp,2002.0,esp,Gibernaus
14.0,ND,T. HaradaT. Harada,,+0.000,Event esp,2002.0,esp,Haradat
,ND,K. JrK. Jr,,24 Laps,Event esp,2002.0,esp,Jrk
,ND,L. CapirossiL. Capirossi,,19 Laps,Event esp,2002.0,esp,Capirossil
,ND,D. GarciaD. Garcia,,13 Laps,Event esp,2002.0,esp,Garciad
,ND,G. MccoyG. Mccoy,,6 Laps,Event esp,2002.0,esp,Mccoyg
,ND,R. LaconiR. Laconi,,1 Laps,Event esp,2002.0,esp,Laconir
,ND,N. AokiN. Aoki,,1 Laps,Event esp,2002.0,esp,Aokin
,ND,J. CardosoJ. Cardoso,,,Event esp,2002.0,esp,Cardosoj
,ND,C. ChecaC. Checa,,,Event esp,2002.0,esp,Checac
,,,,,,2002.0,qat,
1.0,ND,A. BarrosA. Barros,,47:22.404,Event qat,2002.0,qat,Barrosa
2.0,ND,V. RossiV. Rossi,,+0.230,Event qat,2002.0,qat,Rossi
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event qat,2002.0,qat,Biaggim
4.0,ND,D. KatoD. Kato,,+22.504,Event qat,2002.0,qat,Katod
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event qat,2002.0,qat,Ukawat
6.0,ND,S. NakanoS. Nakano,,+50.169,Event qat,2002.0,qat,Nakanos
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event qat,2002.0,qat,Goorberghj
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event qat,2002.0,qat,Mcwilliamsj
9.0,ND,O. JacqueO. Jacque,,+68.312,Event qat,2002.0,qat,Jacqueo
10.0,ND,N. AbeN. Abe,,+68.312,Event qat,2002.0,qat,Aben
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event qat,2002.0,qat,Hopkinsj
12.0,ND,A. PittA. Pitt,,+87.427,Event qat,2002.0,qat,Pitta
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event qat,2002.0,qat,Gibernaus
14.0,ND,T. HaradaT. Harada,,+0.000,Event qat,2002.0,qat,Haradat
,ND,K. JrK. Jr,,24 Laps,Event qat,2002.0,qat,Jrk
,ND,L. CapirossiL. Capirossi,,19 Laps,Event qat,2002.0,qat,Capirossil
,ND,D. GarciaD. Garcia,,13 Laps,Event qat,2002.0,qat,Garciad
,ND,G. MccoyG. Mccoy,,6 Laps,Event qat,2002.0,qat,Mccoyg
,ND,R. LaconiR. Laconi,,1 Laps,Event qat,2002.0,qat,Laconir
,ND,N. AokiN. Aoki,,1 Laps,Event qat,2002.0,qat,Aokin
,ND,J. CardosoJ. Cardoso,,,Event qat,2002.0,qat,Cardosoj
,ND,C. ChecaC. Checa,,,Event qat,2002.0,qat,Checac
,,,,,,2002.0,usa,
1.0,ND,A. BarrosA. Barros,,47:22.404,Event usa,2002.0,usa,Barrosa
2.0,ND,V. RossiV. Rossi,,+0.230,Event usa,2002.0,usa,Rossi
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event usa,2002.0,usa,Biaggim
4.0,ND,D. KatoD. Kato,,+22.504,Event usa,2002.0,usa,Katod
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event usa,2002.0,usa,Ukawat
6.0,ND,S. NakanoS. Nakano,,+50.169,Event usa,2002.0,usa,Nakanos
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event usa,2002.0,usa,Goorberghj
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event usa,2002.0,usa,Mcwilliamsj
9.0,ND,O. JacqueO. Jacque,,+68.312,Event usa,2002.0,usa,Jacqueo
10.0,ND,N. AbeN. Abe,,+68.312,Event usa,2002.0,usa,Aben
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event usa,2002.0,usa,Hopkinsj
12.0,ND,A. PittA. Pitt,,+87.427,Event usa,2002.0,usa,Pitta
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event usa,2002.0,usa,Gibernaus
14.0,ND,T. HaradaT. Harada,,+0.000,Event usa,2002.0,usa,Haradat
,ND,K. JrK. Jr,,24 Laps,Event usa,2002.0,usa,Jrk
,ND,L. CapirossiL. Capirossi,,19 Laps,Event usa,2002.0,usa,Capirossil
,ND,D. GarciaD. Garcia,,13 Laps,Event usa,2002.0,usa,Garciad
,ND,G. MccoyG. Mccoy,,6 Laps,Event usa,2002.0,usa,Mccoyg
,ND,R. LaconiR. Laconi,,1 Laps,Event usa,2002.0,usa,Laconir
,ND,N. AokiN. Aoki,,1 Laps,Event usa,2002.0,usa,Aokin
,ND,J. CardosoJ. Cardoso,,,Event usa,2002.0,usa,Cardosoj
,ND,C. ChecaC. Checa,,,Event usa,2002.0,usa,Checac
,,,,,,2002.0,arg,
1.0,ND,A. BarrosA. Barros,,47:22.404,Event arg,2002.0,arg,Barrosa
2.0,ND,V. RossiV. Rossi,,+0.230,Event arg,2002.0,arg,Rossi
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event arg,2002.0,arg,Biaggim
4.0,ND,D. KatoD. Kato,,+22.504,Event arg,2002.0,arg,Katod
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event arg,2002.0,arg,Ukawat
6.0,ND,S. NakanoS. Nakano,,+50.169,Event arg,2002.0,arg,Nakanos
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event arg,2002.0,arg,Goorberghj
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event arg,2002.0,arg,Mcwilliamsj
9.0,ND,O. JacqueO. Jacque,,+68.312,Event arg,2002.0,arg,Jacqueo
10.0,ND,N. AbeN. Abe,,+68.312,Event arg,2002.0,arg,Aben
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event arg,2002.0,arg,Hopkinsj
12.0,ND,A. PittA. Pitt,,+87.427,Event arg,2002.0,arg,Pitta
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event arg,2002.0,arg,Gibernaus
14.0,ND,T. HaradaT. Harada,,+0.000,Event arg,2002.0,arg,Haradat
,ND,K. JrK. Jr,,24 Laps,Event arg,2002.0,arg,Jrk
,ND,L. CapirossiL. Capirossi,,19 Laps,Event arg,2002.0,arg,Capirossil
,ND,D. GarciaD. Garcia,,13 Laps,Event arg,2002.0,arg,Garciad
,ND,G. MccoyG. Mccoy,,6 Laps,Event arg,2002.0,arg,Mccoyg
,ND,R. LaconiR. Laconi,,1 Laps,Event arg,2002.0,arg,Laconir
,ND,N. AokiN. Aoki,,1 Laps,Event arg,2002.0,arg,Aokin
,ND,J. CardosoJ. Cardoso,,,Event arg,2002.0,arg,Cardosoj
,ND,C. ChecaC. Checa,,,Event arg,2002.0,arg,Checac
,,,,,,2002.0,tha,
1.0,ND,A. BarrosA. Barros,,47:22.404,Event tha,2002.0,tha,Barrosa
2.0,ND,V. RossiV. Rossi,,+0.230,Event tha,2002.0,tha,Rossi
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event tha,2002.0,tha,Biaggim
4.0,ND,D. KatoD. Kato,,+22.504,Event tha,2002.0,tha,Katod
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event tha,2002.0,tha,Ukawat
6.0,ND,S. NakanoS. Nakano,,+50.169,Event tha,2002.0,tha,Nakanos
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event tha,2002.0,tha,Goorberghj
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event tha,2002.0,tha,Mcwilliamsj
9.0,ND,O. JacqueO. Jacque,,+68.312,Event tha,2002.0,tha,Jacqueo
10.0,ND,N. AbeN. Abe,,+68.312,Event tha,2002.0,tha,Aben
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event tha,2002.0,tha,Hopkinsj
12.0,ND,A. PittA. Pitt,,+87.427,Event tha,2002.0,tha,Pitta
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event tha,2002.0,tha,Gibernaus
14.0,ND,T. HaradaT. Harada,,+0.000,Event tha,2002.0,tha,Haradat
,ND,K. JrK. Jr,,24 Laps,Event tha,2002.0,tha,Jrk
,ND,L. CapirossiL. Capirossi,,19 Laps,Event tha,2002.0,tha,Capirossil
,ND,D. GarciaD. Garcia,,13 Laps,Event tha,2002.0,tha,Garciad
,ND,G. MccoyG. Mccoy,,6 Laps,Event tha,2002.0,tha,Mccoyg
,ND,R. LaconiR. Laconi,,1 Laps,Event tha,2002.0,tha,Laconir
,ND,N. AokiN. Aoki,,1 Laps,Event tha,2002.0,tha,Aokin
,ND,J. CardosoJ. Cardoso,,,Event tha,2002.0,tha,Cardosoj
,ND,C. ChecaC. Checa,,,Event tha,2002.0,tha,Checac
,,,,,,2003.0,hun,
1.0,ND,V. RossiV. Rossi,,47:13.078,Event hun,2003.0,hun,Rossi
2.0,ND,S. GibernauS. Gibernau,,+0.681,Event hun,2003.0,hun,Gibernaus
3.0,ND,L. CapirossiL. Capirossi,,+11.227,Event hun,2003.0,hun,Capirossil
4.0,ND,M. BiaggiM. Biaggi,,+16.293,Event hun,2003.0,hun,Biaggim
5.0,ND,C. ChecaC. Checa,,+20.868,Event hun,2003.0,hun,Checac
6.0,ND,A. BarrosA. Barros,,+30.851,Event hun,2003.0,hun,Barrosa
7.0,ND,T. BaylissT. Bayliss,,+37.770,Event hun,2003.0,hun,Baylisst
8.0,ND,C. EdwardsC. Edwards,,+38.922,Event hun,2003.0,hun,Edwardsc
