Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event
11.0,ND,S. NakanoS. Nakano,,+34.162,Event ita,2002.0,ita
12.0,ND,J. HopkinsJ. Hopkins,,+37.715,Event ita,2002.0,ita
13.0,ND,J. BayleJ. Bayle,,+77.803,Event ita,2002.0,ita
14.0,ND,J. GoorberghJ. Goorbergh,,+79.800,Event ita,2002.0,ita
,ND,J. McwilliamsJ. Mcwilliams,,18 Laps,Event ita,2002.0,ita
,ND,S. GibernauS. Gibernau,,14 Laps,Event ita,2002.0,ita
,ND,D. KatoD. Kato,,9 Laps,Event ita,2002.0,ita
,ND,N. AokiN. Aoki,,9 Laps,Event ita,2002.0,ita
,ND,K. JrK. Jr,,8 Laps,Event ita,2002.0,ita
,ND,P. RibaP. Riba,,1 Laps,Event ita,2002.0,ita
,,,,,,2002.0,ara
1.0,ND,A. BarrosA. Barros,,47:22.404,Event ara,2002.0,ara
2.0,ND,V. RossiV. Rossi,,+0.230,Event ara,2002.0,ara
3.0,ND,M. BiaggiM. Biaggi,,+15.213,Event ara,2002.0,ara
4.0,ND,D. KatoD. Kato,,+22.504,Event ara,2002.0,ara
5.0,ND,T. UkawaT. Ukawa,,+35.165,Event ara,2002.0,ara
6.0,ND,S. NakanoS. Nakano,,+50.169,Event ara,2002.0,ara
7.0,ND,J. GoorberghJ. Goorbergh,,+63.814,Event ara,2002.0,ara
8.0,ND,J. McwilliamsJ. Mcwilliams,,+65.079,Event ara,2002.0,ara
9.0,ND,O. JacqueO. Jacque,,+68.312,Event ara,2002.0,ara
10.0,ND,N. AbeN. Abe,,+68.312,Event ara,2002.0,ara
11.0,ND,J. HopkinsJ. Hopkins,,+86.241,Event ara,2002.0,ara
12.0,ND,A. PittA. Pitt,,+87.427,Event ara,2002.0,ara
13.0,ND,S. GibernauS. Gibernau,,+0.000,Event ara,2002.0,ara
14.0,ND,T. HaradaT. Harada,,+0.000,Event ara,2002.0,ara
,ND,K. JrK. Jr,,24 Laps,Event ara,2002.0,ara
,ND,L. CapirossiL. Capirossi,,19 Laps,Event ara,2002.0,ara
,ND,D. GarciaD. Garcia,,13 Laps,Event ara,2002.0,ara
,ND,G. MccoyG. Mccoy,,6 Laps,Event ara,2002.0,ara
,ND,R. LaconiR. Laconi,,1 Laps,Event ara,2002.0,ara
,ND,N. AokiN. Aoki,,1 Laps,Event ara,2002.0,ara
,ND,J. CardosoJ. Cardoso,,,Event ara,2002.0,ara
,ND,C. ChecaC. Checa,,,Event ara,2002.0,ara
,,,,,,2002.0,gbr
1.0,ND,V. RossiV. Rossi,,46:32.888,Event gbr,2002.0,gbr
2.0,ND,M. BiaggiM. Biaggi,,+2.371,Event gbr,2002.0,gbr
3.0,ND,A. BarrosA. Barros,,+5.533,Event gbr,2002.0,gbr
4.0,ND,N. AbeN. Abe,,+22.036,Event gbr,2002.0,gbr
5.0,ND,O. JacqueO. Jacque,,+28.087,Event gbr,2002.0,gbr
6.0,ND,S. GibernauS. Gibernau,,+28.400,Event gbr,2002.0,gbr
7.0,ND,D. KatoD. Kato,,+28.947,Event gbr,2002.0,gbr
8.0,ND,J. HopkinsJ. Hopkins,,+31.497,Event gbr,2002.0,gbr
9.0,ND,N. AokiN. Aoki,,+31.947,Event gbr,2002.0,gbr
10.0,ND,S. NakanoS. Nakano,,+41.454,Event gbr,2002.0,gbr
11.0,ND,T. HaradaT. Harada,,+49.458,Event gbr,2002.0,gbr
12.0,ND,G. MccoyG. Mccoy,,+53.709,Event gbr,2002.0,gbr
13.0,ND,A. RyoA. Ryo,,+54.480,Event gbr,2002.0,gbr
14.0,ND,K. JrK. Jr,,+54.594,Event gbr,2002.0,gbr
15.0,ND,J. GoorberghJ. Goorbergh,,+54.866,Event gbr,2002.0,gbr
16.0,ND,R. LaconiR. Laconi,,+55.525,Event gbr,2002.0,gbr
17.0,ND,A. HofmannA. Hofmann,,+65.901,Event gbr,2002.0,gbr
