Rider_normalized,Team,Year,Conditions,Track Conditions,Humidity_num,GroundTemp_num,proba_podio
Haydenducati,Ducati Team,2013,Partly Cloudy,Dry,62.0,42.0,0.03333333333333333
Pirro,Ducati Test Team,2013,Partly Cloudy,Dry,62.0,42.0,0.056666666666666664
Espargaro,Power Electronics Aspar,2013,Partly Cloudy,Dry,62.0,42.0,0.0033333333333333335
Smithmonster,Monster Yamaha Tech 3,2013,Partly Cloudy,Dry,62.0,42.0,0.22666666666666666
Barberaavintia,Avintia Blusens,2013,Partly Cloudy,Dry,62.0,42.0,0.03
Punietpower,Power Electronics Aspar,2013,Partly Cloudy,Dry,62.0,42.0,0.043333333333333335
Petruccicame,Came IodaRacing Project,2013,Partly Cloudy,Dry,62.0,42.0,0.05333333333333334
Iannoneenergy,Energy T.I. Pramac Racing,2013,Partly Cloudy,Dry,62.0,42.0,0.07333333333333333
Edwardsngm,NGM Mobile Forward Racing,2013,Partly Cloudy,Dry,62.0,42.0,0.04666666666666667
Abrahamcardion,Cardion AB Motoracing,2013,Partly Cloudy,Dry,62.0,42.0,0.03
Hernandezpaul,Paul Bird Motorsport,2013,Partly Cloudy,Dry,62.0,42.0,0.0
Lavertypaul,Paul Bird Motorsport,2013,Partly Cloudy,Dry,62.0,42.0,0.03333333333333333
Staringgo,GO&FUN Honda Gresini,2013,Partly Cloudy,Dry,62.0,42.0,0.05
Iodaracing,Came IodaRacing Project,2013,Partly Cloudy,Dry,62.0,42.0,0.056666666666666664
Marquez,Repsol Honda Team,2014,Partly Cloudy,Dry,22.0,45.0,0.37333333333333335
Lorenzo,Movistar Yamaha MotoGP,2014,Partly Cloudy,Dry,22.0,45.0,0.68
Rossi,Movistar Yamaha MotoGP,2014,Partly Cloudy,Dry,22.0,45.0,0.41333333333333333
Pedrosa,Repsol Honda Team,2014,Partly Cloudy,Dry,22.0,45.0,0.61
Espargaro,Monster Yamaha Tech 3,2014,Partly Cloudy,Dry,22.0,45.0,0.03333333333333333
Dovizioso,Ducati Team,2014,Partly Cloudy,Dry,22.0,45.0,0.3566666666666667
Iannonepramac,Pramac Racing,2014,Partly Cloudy,Dry,22.0,45.0,0.03333333333333333
Bautistago,GO&FUN Honda Gresini,2014,Partly Cloudy,Dry,22.0,45.0,0.006666666666666667
Espargaro,NGM Forward Racing,2014,Partly Cloudy,Dry,22.0,45.0,0.01739522972415739
