Rider_normalized,Team,Year,Conditions,Track Conditions,Humidity_num,GroundTemp_num,proba_podio
Bezzecchi,Mooney VR46 Racing Team,2023,Partly Cloudy,Dry,53.0,45.0,0.4066666666666667
Bastianini,Ducati Lenovo Team,2023,Partly Cloudy,Dry,53.0,45.0,0.5166666666666667
Morbidelli,Monster Energy Yamaha MotoGP,2023,Partly Cloudy,Dry,53.0,45.0,0.04666666666666667
Quartararo,Monster Energy Yamaha MotoGP,2023,Partly Cloudy,Dry,53.0,45.0,0.21
Viñales,Aprilia Racing,2023,Partly Cloudy,Dry,53.0,45.0,0.09666666666666666
Nakagami,LCR Honda IDEMITSU,2023,Partly Cloudy,Dry,53.0,45.0,0.006666666666666667
Giannantonio,Gresini Racing MotoGP,2023,Partly Cloudy,Dry,53.0,45.0,0.12
Fernandez,GASGAS Factory Racing Tech3,2023,Partly Cloudy,Dry,53.0,45.0,0.013333333333333334
Pirro,Aruba.it Racing,2023,Partly Cloudy,Dry,53.0,45.0,0.03333333333333333
Fernandez,CryptoDATA RNF MotoGP Team,2023,Partly Cloudy,Dry,53.0,45.0,0.02
Savadori,Aprilia Racing,2023,Partly Cloudy,Dry,53.0,45.0,0.06333333333333334
Folger,GASGAS Factory Racing Tech3,2023,Partly Cloudy,Dry,53.0,45.0,0.023333333333333334
Bagnaia,Ducati Lenovo Team,2024,,,,,0.76
Bastianini,Ducati Lenovo Team,2024,,,,,0.36666666666666664
Martin,Prima Pramac Racing,2024,,,,,0.7366666666666667
Marquez,Gresini Racing MotoGP,2024,,,,,0.19725065387888707
Acosta,Red Bull GASGAS Tech3,2024,,,,,0.12
Morbidelli,Prima Pramac Racing,2024,,,,,0.22666666666666666
Giannantonio,Pertamina Enduro VR46 Racing Team,2024,,,,,0.04
Viñales,Aprilia Racing,2024,,,,,0.02
Marquez,Gresini Racing MotoGP,2024,,,,,0.168947002133965
Binder,Red Bull KTM Factory Racing,2024,,,,,0.023333333333333334
Espargaro,Aprilia Racing,2024,,,,,0.01
Fernandez,Trackhouse Racing,2024,,,,,0.013333333333333334
Bezzecchi,Pertamina Enduro VR46 Racing Team,2024,,,,,0.02666666666666667
Oliveira,Trackhouse Racing,2024,,,,,0.04
Rins,Monster Energy Yamaha MotoGP Team,2024,,,,,0.023333333333333334
Miller,Red Bull KTM Factory Racing,2024,,,,,0.023333333333333334
Espargaro,Red Bull KTM Factory Racing,2024,,,,,0.06406189639082406
Quartararo,Monster Energy Yamaha MotoGP Team,2024,,,,,0.013333333333333334
Zarco,CASTROL Honda LCR,2024,,,,,0.04666666666666667
Marini,Repsol Honda Team,2024,,,,,0.15666666666666668
Savadori,Aprilia Racing,2024,,,,,0.043333333333333335
Marquez,Ducati Lenovo Team,2025,Clear,Dry,41.0,49.0,0.7666666666666667
Marquez,BK8 Gresini Racing MotoGP,2025,Clear,Dry,41.0,49.0,0.41333333333333333
Giannantonio,Pertamina Enduro VR46 Racing Team,2025,Clear,Dry,41.0,49.0,0.02666666666666667
Bagnaia,Ducati Lenovo Team,2025,Clear,Dry,41.0,49.0,0.7866666666666666
Bezzecchi,Aprilia Racing,2025,Clear,Dry,41.0,49.0,0.14333333333333334
Morbidelli,Pertamina Enduro VR46 Racing Team,2025,Clear,Dry,41.0,49.0,0.15666666666666668
Fernandez,Trackhouse MotoGP Team,2025,Clear,Dry,41.0,49.0,0.006666666666666667
Acosta,Red Bull KTM Factory Racing,2025,Clear,Dry,41.0,49.0,0.12
Binder,Red Bull KTM Factory Racing,2025,Clear,Dry,41.0,49.0,0.1
Ogura,Trackhouse MotoGP Team,2025,Clear,Dry,41.0,49.0,0.07
Mir,Honda HRC Castrol,2025,Clear,Dry,41.0,49.0,0.17333333333333334
Aldeguer,BK8 Gresini Racing MotoGP,2025,Clear,Dry,41.0,49.0,0.2
Oliveira,Prima Pramac Yamaha MotoGP,2025,Clear,Dry,41.0,49.0,0.17666666666666667
Quartararo,Monster Energy Yamaha MotoGP Team,2025,Clear,Dry,41.0,49.0,0.08666666666666667
Rins,Monster Energy Yamaha MotoGP Team,2025,Clear,Dry,41.0,49.0,0.06
Nakagami,Honda HRC Castrol,2025,Clear,Dry,41.0,49.0,0.04
Savadori,Aprilia Racing,2025,Clear,Dry,41.0,49.0,0.05
Chantra,IDEMITSU Honda LCR,2025,Clear,Dry,41.0,49.0,0.06333333333333334
