Rider_normalized,Team,Year,Conditions,Track Conditions,proba_podio
Miller,Red Bull KTM Factory Racing,2024,,,0.00790397559026668
Mir,Team SUZUKI ECSTAR,2019,Partly Cloudy,Dry,0.02380220700203425
Mir,Team SUZUKI ECSTAR,2021,Clear,Dry,0.490360299535769
Mir,Honda HRC Castrol,2025,Clear,Dry,0.007382219840021201
Morbidelli,"EG 0,0 Marc VDS",2018,Clear,Dry,0.005400674992968526
Morbidelli,Petronas Yamaha SRT,2020,Clear,Dry,0.6331699528336653
Morbidelli,Petronas Yamaha SRT,2021,Clear,Dry,0.006481825742090637
Morbidelli,Monster Energy Yamaha MotoGP,2023,Partly Cloudy,Dry,0.013996301789376388
Morbidelli,Prima Pramac Racing,2024,,,0.12654009718248332
Morbidelli,Pertamina Enduro VR46 Racing Team,2025,Clear,Dry,0.16167552068230345
Nakagami,LCR Honda IDEMITSU,2018,Clear,Dry,0.00857962646047768
Nakagami,LCR Honda IDEMITSU,2019,Partly Cloudy,Dry,0.06531780114777852
Nakagami,LCR Honda IDEMITSU,2020,Clear,Dry,0.11172461085913614
Nakagami,LCR Honda IDEMITSU,2023,Partly Cloudy,Dry,0.00947034302865788
Nakagami,Honda HRC Castrol,2025,Clear,Dry,0.006791927862201791
Nakano,,2005,Partly Cloudy,Dry,0.02915372987942478
Nakanokawasaki,Kawasaki Racing Team,2006,Sunny,Dry,0.015771776884185622
Nakanokonica,Konica Minolta Honda,2007,Sunny,Dry,0.005678094122150456
Nakanos,,2002,,,0.032850888178720866
Nakanos,,2003,,,0.03486665403010574
Nakanosan,San Carlo Honda Gresini,2008,Sunny,Dry,0.055744082305244705
Ogura,Trackhouse MotoGP Team,2025,Clear,Dry,0.024583472381928827
Okadarepsol,Repsol Honda Team,2008,Sunny,Dry,0.008035944269603237
Oliveira,Red Bull KTM Tech 3,2019,Partly Cloudy,Dry,0.009410429068123323
Oliveira,Red Bull KTM Tech 3,2020,Clear,Dry,0.7337826740932681
Oliveira,Red Bull KTM Factory Racing,2021,Clear,Dry,0.4418383043914571
Oliveira,Trackhouse Racing,2024,,,0.010163809564766488
Oliveira,Prima Pramac Yamaha MotoGP,2025,Clear,Dry,0.007909351430735739
Parkespaul,Paul Bird Motorsport,2014,Partly Cloudy,Dry,0.0051445092724246334
Pasinispeed,Speed Master,2012,Partly Cloudy,Dry,0.005896729820674485
Pedrosa,Repsol Honda Team,2006,Sunny,Dry,0.7798737408637949
Pedrosa,Repsol Honda Team,2007,Sunny,Dry,0.6358374366826081
Pedrosa,Repsol Honda Team,2008,Sunny,Dry,0.036947069702221585
Pedrosa,Repsol Honda Team,2010,,,0.9739730938108999
Pedrosa,Repsol Honda Team,2011,,,0.43243756301212083
Pedrosa,Repsol Honda Team,2012,Partly Cloudy,Dry,0.608624771226369
Pedrosa,Repsol Honda Team,2013,Partly Cloudy,Dry,0.9672271550695114
Pedrosa,Repsol Honda Team,2014,Partly Cloudy,Dry,0.7545667124010158
Pedrosa,Repsol Honda Team,2016,Clear,Dry,0.31067139026791335
Petruccialma,Alma Pramac Racing,2018,Clear,Dry,0.1712748491730782
Petruccicame,Came IodaRacing Project,2013,Partly Cloudy,Dry,0.006758547243503324
Petrucciducati,Ducati Team,2020,Clear,Dry,0.007719323193214685
Petruccimission,Mission Winnow Ducati,2019,Partly Cloudy,Dry,0.16511264471248124
Petrucciocto,OCTO Pramac Yakhnich,2016,Clear,Dry,0.02051217292689373
Petrucciocto,OCTO Pramac Racing,2017,Partly Cloudy,Dry,0.03275735240042609
Petruccitech,Tech 3 KTM Factory Racing,2021,Clear,Dry,0.00790397559026668
Pirro,Ducati Test Team,2013,Partly Cloudy,Dry,0.038666214334418726
Pirro,Ducati Team,2014,Partly Cloudy,Dry,0.027198343745968887
Pirro,Ducati Team,2016,Clear,Dry,0.02158451864555411
Pirro,Ducati Team,2017,Partly Cloudy,Dry,0.04768113566485586
Pirro,Mission Winnow Ducati,2019,Partly Cloudy,Dry,0.0423380824509707
Pirro,Pramac Racing,2021,Clear,Dry,0.01973251758859298
Pirro,Aruba.it Racing,2023,Partly Cloudy,Dry,0.005909387630133187
Pitta,,2003,,,0.022492705725111754
Pitta,,2004,,,0.028488208024179285
Punietkawasaki,Kawasaki Racing Team,2006,Sunny,Dry,0.005666028510500673
Punietlcr,LCR Honda MotoGP,2009,Partly Cloudy,Wet,0.06395608177595227
Punietlcr,LCR Honda MotoGP,2010,,,0.04553451185068817
Punietpower,Power Electronics Aspar,2012,Partly Cloudy,Dry,0.00790397559026668
Punietpower,Power Electronics Aspar,2013,Partly Cloudy,Dry,0.01798892009083611
Punietpramac,Pramac Racing Team,2011,,,0.008409251923452155
Quartararo,Petronas Yamaha SRT,2019,Partly Cloudy,Dry,0.07455885375303556
Quartararo,Petronas Yamaha SRT,2020,Clear,Dry,0.03025003537340381
Quartararo,Monster Energy Yamaha MotoGP,2021,Clear,Dry,0.5546739130198481
Quartararo,Monster Energy Yamaha MotoGP,2023,Partly Cloudy,Dry,0.010552456489401434
Quartararo,Monster Energy Yamaha MotoGP Team,2024,,,0.00947034302865788
Quartararo,Monster Energy Yamaha MotoGP Team,2025,Clear,Dry,0.014056695620968195
Rabateg,"EG 0,0 Marc VDS",2017,Partly Cloudy,Dry,0.007104164867838161
Rabatesponsorama,Esponsorama Racing,2020,Clear,Dry,0.005666028510500673
Rabatreale,Reale Avintia Racing,2018,Clear,Dry,0.006633576059594902
Reddinggo,GO&FUN Honda Gresini,2014,Partly Cloudy,Dry,0.008646373148643558
Reddingocto,OCTO Pramac Racing,2017,Partly Cloudy,Dry,0.021933063935784033
Rins,Team SUZUKI ECSTAR,2018,Clear,Dry,0.50717009039102
Rins,Team SUZUKI ECSTAR,2019,Partly Cloudy,Dry,0.16629088837804434
Rins,Team SUZUKI ECSTAR,2020,Clear,Dry,0.008808702245065884
Rins,Monster Energy Yamaha MotoGP Team,2024,,,0.004407826893000838
Rins,Monster Energy Yamaha MotoGP Team,2025,Clear,Dry,0.008684557728790055
Roberts,Team Roberts,2006,Sunny,Dry,0.0517518036511034
Roberts,Team Roberts,2007,Sunny,Dry,0.011546089466583543
Rolfo,,2005,Partly Cloudy,Dry,0.014804169041926014
Rossi,,2002,,,0.9254948904001684
Rossi,,2003,,,0.8530725316890676
Rossi,,2004,,,0.8296723754565064
Rossi,,2005,Partly Cloudy,Dry,0.9268725939513729
Rossi,Camel Yamaha Team,2006,Sunny,Dry,0.3178487249779972
Rossi,Fiat Yamaha Team,2007,Sunny,Dry,0.10340842852210631
Rossi,Fiat Yamaha Team,2008,Sunny,Dry,0.9634895244722506
Rossi,Fiat Yamaha Team,2009,Partly Cloudy,Wet,0.7369321269428554
Rossi,Ducati Team,2011,,,0.06084559989224125
Rossi,Ducati Team,2012,Partly Cloudy,Dry,0.05208504649822015
Rossi,Movistar Yamaha MotoGP,2014,Partly Cloudy,Dry,0.6674038029244526
Rossi,Movistar Yamaha MotoGP,2017,Partly Cloudy,Dry,0.46561723916140996
Rossi,Movistar Yamaha MotoGP,2018,Clear,Dry,0.730396361569687
Rossi,Monster Energy Yamaha MotoGP,2020,Clear,Dry,0.008637844659563602
Rossi,Petronas Yamaha SRT,2021,Clear,Dry,0.014367043220779151
Savadori,Aprilia Racing Team Gresini,2021,Clear,Dry,0.007872441616730577
Savadori,Aprilia Racing,2023,Partly Cloudy,Dry,0.0074334028850492374
Savadori,Aprilia Racing,2024,,,0.006176591162956278
Savadori,Aprilia Racing,2025,Clear,Dry,0.008316852441217758
Silvaavintia,Avintia Blusens,2012,Partly Cloudy,Dry,0.0051445092724246334
Simeonreale,Reale Avintia Racing,2018,Clear,Dry,0.005666028510500673
Simoncellisan,San Carlo Honda Gresini,2010,,,0.055975526485492096
Simoncellisan,San Carlo Honda Gresini,2011,,,0.0710089328283806
Smithmonster,Monster Yamaha Tech 3,2013,Partly Cloudy,Dry,0.0566642455192301
Smithmonster,Monster Yamaha Tech 3,2016,Clear,Dry,0.00935887133355644
Smithred,Red Bull KTM Factory Racing,2017,Partly Cloudy,Dry,0.00790397559026668
Smithred,Red Bull KTM Factory Racing,2018,Clear,Dry,0.005909387630133187
Spiesmonster,Monster Yamaha Tech 3,2010,,,0.010845319269970838
Spiesyamaha,Yamaha Factory Racing,2011,,,0.8391447540636414
Spiesyamaha,Yamaha Factory Racing,2012,Partly Cloudy,Dry,0.025761221056532176
Staringgo,GO&FUN Honda Gresini,2013,Partly Cloudy,Dry,0.00747671283081413
Stoner,Ducati Marlboro Team,2007,Sunny,Dry,0.6749463052281577
Stoner,Ducati Marlboro Team,2008,Sunny,Dry,0.9776273666764254
Stoner,Ducati Marlboro Team,2009,Partly Cloudy,Wet,0.03325694351982752
Stoner,Ducati Marlboro Team,2010,,,0.8525748903435307
Stoner,Repsol Honda Team,2011,,,0.7880165883279606
Stoner,Repsol Honda Team,2012,Partly Cloudy,Dry,0.7506664516288487
Syahrinmonster,Monster Yamaha Tech 3,2018,Clear,Dry,0.007275426705000389
Tamada,,2005,Partly Cloudy,Dry,0.02915372987942478
Tamadadunlop,Dunlop Yamaha Tech 3,2007,Sunny,Dry,0.00790397559026668
Tamadakonica,Konica Minolta Honda,2006,Sunny,Dry,0.02515332904848935
Tamadam,,2003,,,0.020087998595269437
Toselandmonster,Monster Yamaha Tech 3,2009,Partly Cloudy,Wet,0.05361787406997289
Toselandtech,Tech 3 Yamaha,2008,Sunny,Dry,0.015250279206853333
Ukawat,,2002,,,0.3035090066447963
Ukawat,,2003,,,0.044934391960064234
Vermeulenrizla,Rizla Suzuki MotoGP,2006,Sunny,Dry,0.00790115818716844
